,ID,Population,Group_Population,Region,State / Province / City,Country of origin / collected in,not_most_accurate,Continent,Sampling Location (Cambridgesamples),Latitude,Longitude,Uncertainty,Area,Certainty group,Comment,Source,Secondary Source,Unique
0,1,Ethiopians,Ethiopians,,Amara,Ethiopia,0.0,Africa,,11.5,38.5,,154709.0,3.0,Amhara,Estonians,,Ethopians_Amara
1,2,Ethiopians,Ethiopians,,Oromo,Ethiopia,0.0,Africa,,7.989061,39.381181,,284538.0,3.0,Oromia,Estonians,,Ethopians_Oromo
5,6,Moroccans,Moroccans,,,Morocco,0.0,North Africa,,34.0,-6.8,,,1.0,from Human Origins,Estonians,,Moroccans
7,8,Arab_Christian,Arab_Christian,,,Israel,0.0,Near East,,32.0,35.0,,20770.0,5.0,Jerusalem,Estonians,,Arab_Christian
9,10,Saudis,Saudis,,,Saudi Arabia,0.0,Arabia,,18.5,42.5,,,1.0,from Human Origins,Estonians,,Saudis
10,11,Yemenese,Yemenese,,,Yemen,0.0,Arabia,,14.0,44.6,,,1.0,from Human Origins,Estonians,,Yemenese
14,15,Jordanians,Jordanians,,,Jordania,0.0,Near East,,32.1,35.9,,,1.0,from Human Origins,Estonians,,Jordanians
15,16,Syrians,Syrians,,,Syria,0.0,Near East,,35.1,36.9,,,1.0,from Human Origins,Estonians,,Syrians
16,17,Lebanese,Lebanese,,,Lebanon,0.0,Near East,,33.849999999999994,35.5666665,,89342.0,5.0,Beirut,Estonians,,Lebanese
52,53,Iranians,Iranians,,,Iran,0.0,Central Asia,,35.6,51.5,,,1.0,from Human Origins,Estonians,,Iranians
53,54,Azeris,Azeris,South Caucasus,,Iran,0.0,Caucasus,,38.145386,46.274224,,,4.0,Tabriz,Estonians,,Azeris_Iran
55,56,Germans,Germans,,,Germany,0.0,Europe,,51.1,10.4,,,1.0,from Popres,Estonians,,Germans
56,57,Sicilians,Italians,Sicily,west,Italy,0.0,Europe,,38.0,12.5,,,1.0,from Human Origins,Estonians,,Sicilians_West
57,58,Sicilians,Italians,Sicily,central,Italy,0.0,Europe,,37.509571,14.069030999999999,50,,4.0,Caltanisetta,Estonians,,Sicilians_Central
58,59,Sicilians,Italians,Sicily,east,Italy,0.0,Europe,,37.1,15.3,,,1.0,from Human Origins,Estonians,,Sicilians_East
59,60,Sicilians,Italians,Sicily,south,Italy,0.0,Europe,,36.945345,14.717224,50,,4.0,Ragusa,Estonians,,Sicilians_South
60,61,Italians_Abruzzo,Italians,Abruzzo,,Italy,0.0,Europe,,42.366111,13.394444,,10794.0,3.0,,Estonians,,Italians_Abruzzo
61,62,Cypriots,Cypriots,,,Cyprus,0.0,Europe,,35.1,33.4,,,1.0,from Human Origins,Estonians,,Cypriots
63,64,Greeks,Greeks,,Thessaly,Greece,0.0,Europe,,39.6,22.2, ,14036.0,3.0,Larissa,Estonians,,Greeks_Thessaly
64,65,Macedonians,Macedonians,,,Macedonia,0.0,Europe,,41.7,21.7,,,1.0,from Popres,Estonians,,Macedonians
65,66,Kosovars,Kosovars,,,Kosovo,0.0,Europe,,42.620543,20.871751,,,5.0,,Estonians,,Kosovars
66,67,Montenegrins,Montenegrins,,,Montenegro,0.0,Europe,,42.783333,19.466667,,,3.0,,Estonians,,Montenegrins
67,68,Bosnians,Bosnians,,,Bosnia and Herzegovina,0.0,Europe,,44.2,17.9,,,1.0,from Popres,Estonians,,Bosnians
68,69,Croats,Croats,,,Croatia,0.0,Europe,,43.5,16.4,,,1.0,from Human Origins,Estonians,,Croats_Croatia
70,71,Croats,Croats,,Herzegovina,Bosnia and Herzegovina,0.0,Europe,,42.431726,19.262057000000002,,,3.0,Podgorica,Estonians,,Croats_Bosnia
71,72,Serbians,Serbians,,,Serbia,0.0,Europe,,43.9,20.6,,,1.0,from Popres,Estonians,,Serbians_Serbia
72,73,Serbians,Serbians,,,Bosnia and Herzegovina,0.0,Europe,,44.736615,18.095041000000002,50,,4.0,Doboj,Estonians,,Serbians_Bosnia
73,74,Bulgarians,Bulgarians,,,Bulgaria,0.0,Europe,,42.2,24.7,,,1.0,from Human Origins,Estonians,,Bulgarians
74,75,Hungarians,Hungarians,,,Hungary,0.0,Europe,,47.5,19.1,,,1.0,from Human Origins,Estonians,,Hungarians
75,76,Romanians,Romanians,,,Romania,0.0,Europe,,45.9,25.0,,,1.0,from Popres,Estonians,,Romanians
76,77,Moldavians,Moldavians,,,Moldova,0.0,Europe,,47.0,28.916666999999997,,33800.0,5.0,Chisinau,Estonians,,Moldavians
77,78,Gagauzes,Gagauzes,,,Moldova,0.0,Europe,,46.316666999999995,28.666666999999997,,1832.0,3.0,Comrat,Estonians,,Gagauzes
78,79,Poles,Poles,,,Poland,0.0,Europe,,52.2,21.0,,,1.0,from Human Origins,Estonians,,Poles
80,81,Ukranians,Ukranians,,Svetlovodsk(central Ukr),Ukraine,0.0,Europe,,49.050278000000006,33.241944000000004,,,2.0,,Estonians,,Ukranians_Svetlovodsk
81,82,Ukranians,Ukranians,,Kharkov,Ukraine,0.0,Europe,,50.004444,36.231389,,,2.0,,Estonians,,Ukranians_Kharkov
82,83,Ukranians,Ukranians,,Poltava,Ukraine,0.0,Europe,,49.589444,34.551389,,,2.0,,Estonians,,Ukranians_Poltava
83,84,Ukranians,Ukranians,,Belgorod,Ukraine,0.0,Europe,,46.192221999999994,30.333333000000003,,,2.0,,Estonians,,Ukranians_Belgorod
84,85,Ukranians,Ukranians,,Lviv,Ukraine,0.0,Europe,,49.85,24.016667,,,2.0,,Estonians,,Ukranians_Lviv
85,86,Belarusians,Belarusians,,,Belarus,0.0,Europe,,53.9,28.0,,,1.0,from Human Origins,Estonians,,Belarusians
86,87,Russians,Russians_Southern,Voronez,,Russia,0.0,Europe,,51.671667,39.210556,,,3.0,,Estonians,,Russians_Voronez
87,88,Russians,Russians_Southern,Kursk,,Russia,0.0,Europe,,51.716667,36.183333000000005,,,3.0,,Estonians,,Russians_Kursk
88,89,Russians,Russians_Southern,Orjol,,Russia,0.0,Europe,,52.966667,36.066666999999995,,,3.0,,Estonians,,Russians_Orjol
89,90,Russians,Russians,Smolensk,,Russia,0.0,Europe,,54.782778,32.045278,,,3.0,,Estonians,,Russians_Smolensk
91,92,Russians,Russians,Tver,,Russia,0.0,Europe,,56.8625,35.924167,,,3.0,,Estonians,,Russians_Tver
92,93,Russians,Russians_North,Arhangelsk,,Russia,0.0,Europe,,64.533333,40.533333,,,3.0,,Estonians,,Russians_Arhangelsk
94,95,Russians,Russians,Kostroma,,Russia,0.0,Europe,,57.766667000000005,40.933333000000005,,,3.0,,Estonians,,Russians_Kostroma
95,96,Lithuanians,Lithuanians,,,Lithuania,0.0,Europe,,54.9,23.9,,,1.0,from Human Origins,Estonians,,Lithuanians
96,97,Estonians,Estonians,,,Estonia,0.0,Europe,,58.5,24.9,,,1.0,,Estonians,,Estonians
97,98,Karelian,Karelian,,,Russia,0.0,Europe,,63.816667,33.0,,172400.0,4.0,,Estonians,,Karelian
99,100,Saami,Saami_SWE,,Norrbotten,Sweden,0.0,Europe,,65.58444399999999,22.153889000000003,,98244.0,3.0,,Estonians,,Saami
100,101,Vepsas,Vepsas,,,Russia,0.0,Europe,,59.865163,30.339024,50,,4.0,"Vepsians, St. Petersburg https://en.wikipedia.org/wiki/Vepsians#/media/File:Muromian-map.png",Estonians,,Vepsas
101,102,Maris,Maris,,,Russia,0.0,Europe,,57.038866000000006,45.83039,50,,4.0,,Estonians,,Maris
102,103,Mordovians,Erza,,Mordovia,Russia,0.0,Europe,,54.2,45.2,,,1.0,from Human Origins,Estonians,,Mordovians
105,106,Komis,Komis_Permic,,,Russia,0.0,Europe,,59.233332999999995,56.13333299999999,,161000.0,4.0,Perm Krai,Estonians,,Komis_Permic
106,107,Komis,Komis_Zyrian,,,Russia,0.0,Europe,,61.687876,50.656646,100,,4.0,Komi Republic,Estonians,,Komis_Zyrian
107,108,Udmurts,Udmurts,,,Russia,0.0,Europe,,57.283333,52.75,,42100.0,4.0,Udmurtia,Estonians,,Udmurts
108,109,Nenets,Forest_Nenets,,Nenets Auton. Okr.,Russia,0.0,Siberia,,67.614241,53.005421,200,,4.0,Nenets Autonomous Okrug,Estonians,,Nenets
112,113,Chuvash,Chuvash,,,Russia,0.0,Europe,,56.1,47.3,,,1.0,from Human Origins,Estonians,,Chuvash
113,114,Bashkirs,Bashkirs,,,Russia,0.0,Europe,,54.466667,56.266667000000005,,143600.0,4.0,Republic of Bashkortostan,Estonians,,Bashkirs
114,115,Tatars,Tatars,,,Russia,0.0,Europe,,53.25,44.566666999999995,200,,4.0,Penza Oblast,Estonians,,Tatars
117,118,Armenians,Armenians,South Caucasus,,Armenia,0.0,Caucasus,,40.2,44.5,,,1.0,from Human Origins,Estonians,,Armenians
118,119,Georgians,Georgians,South Caucasus,,Georgia,0.0,Caucasus,,41.7,44.8,,,1.0,from Human Origins,Estonians,,Georgians
119,120,Georgians,northwest_Mingrelians,South Caucasus,,Georgia,0.0,Caucasus,,42.5,41.9,,,1.0,from Human Origins,Estonians,,northwest_Mingrelians
120,121,Abkhasians,Abkhasians,South Caucasus,,Georgia,0.0,Caucasus,,43.0,41.0,,,1.0,from Human Origins,Estonians,,Abkhasians
121,122,Balkars,Balkars,North Caucasus,,Russia,0.0,Caucasus,,43.5,43.6,,,1.0,from Human Origins,Estonians,,Balkars
122,123,Kabardin,Kabardin,North Caucasus,,Russia,0.0,Caucasus,,43.583333,43.4,,12500.0,4.0,Kabardino-Balkaria,Estonians,,Kabardin
123,124,North_Ossetians,North_Ossetians,North Caucasus,,Russia,0.0,Caucasus,,44.4,41.9,,,1.0,from Human Origins,Estonians,,North_Ossetians
124,125,Chechens,Chechens,North Caucasus,,Russia,0.0,Caucasus,,43.3,45.7,,,1.0,from Human Origins,Estonians,,Chechens
125,126,Lezgins,Lezgins,North Caucasus,,Russia,0.0,Caucasus,,42.1,48.2,,,1.0,from Human Origins,Estonians,,Lezgins
126,127,Kumyks,Kumyks,North Caucasus,,Russia,0.0,Caucasus,,43.3,46.6,,,1.0,from Human Origins,Estonians,,Kumyks
127,128,Tabasarans,Tabasarans,North Caucasus,,Russia,0.0,Caucasus,,43.1,46.883333,,50300.0,4.0,Dagestan,Estonians,,Tabasarans
129,130,Kalmyks,Kalmyks,North Caucasus,,Russia,0.0,Caucasus,,46.566666999999995,45.316666999999995,,76000.0,4.0,Kalmykia,Estonians,,Kalmyks
130,131,Azeris,Azeris,South Caucasus,,Azerbaijan,0.0,Caucasus,,40.4,49.9,,,1.0,from Human Origins,Estonians,,Azeris_Azerbaijan
132,133,Turkmens,Turkmens,,,Turkmenistan,0.0,Central Asia,,42.5,59.6,,,1.0,from Human Origins,Estonians,,Turkmens
133,134,Turkmens,Turkmens_Afghan,,,Afghanisthan,0.0,Central Asia,,36.670619,65.732125,200,,4.0,Shebergan,Estonians,,Turkmens_Afghan
135,136,Pamiris,Tajiks,Pamir Ishkashim,Ishkashim,Tajikistan,0.0,Central Asia,,37.002553000000006,71.729736,,,1.0,,Estonians,,Pamiris_Ishkashim
136,137,Pamiris,Tajiks,Pamir Rushan,Rushan,Tajikistan,0.0,Central Asia,,37.944596000000004,71.557045,,,1.0,,Estonians,,Pamiris_Rushan
137,138,Pamiris,Tajiks,Pamir Rushan Vanch,Rushan Vanch,Tajikistan,0.0,Central Asia,,38.526413,71.690426,,,1.0,,Estonians,,Pamiris_Vanch
138,139,Pamiris,Tajiks,Pamir Shugnan,Shugnan,Tajikistan,0.0,Central Asia,,37.544577000000004,72.421875,,,1.0,,Estonians,,Pamiris_Shugnan
140,141,Yaghnobi,Tajiks,plain West Tajikistan,,Tajikistan,0.0,Central Asia,,39.495563,67.63183599999999,,,1.0,,Estonians,,Yaghnobi
141,142,Tajiks,Tajiks_Afghan,,,Afghanisthan,0.0,Central Asia,,34.383333,67.016667,200,,4.0,Taleqan,Estonians,,Tajiks_Afghan
142,143,Karakalpak,Karakalpak,,,Uzbekistan,0.0,Central Asia,,41.306003000000004,69.578659,,,2.0,,Estonians,,Karakalpak
143,144,Uzbeks,Uzbeks,,,Uzbekistan,0.0,Central Asia,,41.3,69.2,,,1.0,from Human Origins,Estonians,,Uzbeks
144,145,Uzbeks,Uzbeks_Afghan,,,Afghanisthan,0.0,Central Asia,,36.689840999999994,67.117248,200,,4.0,Mazari Sharif,Estonians,,Uzbeks_Afghan
145,146,Kyrgyzians,Kyrgyzians,TienShan,,Kyrgyzstan,0.0,Central Asia,,42.9,74.6,,,1.0,from Human Origins,Estonians,,Kyrgyzians_TienShan
147,148,Kyrgyzians,Kyrgyzians,Pamir,Murghab,Tajikistan,0.0,Central Asia,,38.188846999999996,74.01965600000001,,,1.0,,Estonians,,Kyrgyzians_Murghab
148,149,Kyrgyzians,Kyrgyzians,Pamir,Alichur,Tajikistan,0.0,Central Asia,,37.751444,73.26232900000001,,,1.0,,Estonians,,Kyrgyzians_Alichur
151,152,Kazakhs,Kazakhs,Central-West,,Kazakhstan,0.0,Central Asia,,47.917826,59.61909300000001,200,,4.0,Shalkar,Estonians,,Kazakhs_CentralWest
152,153,Kazakhs,Kazakhs,,,Kazakhstan,0.0,Central Asia,,51.251829,71.572626,200,,5.0,Astana,Estonians,,Kazakhs_General
153,154,Uygurs,Uygurs,,,China,0.0,Central Asia,,44.0,81.0,,,1.0,from Human Origins,Estonians,,Uygurs
155,156,Altaians,Altaians,Turochak,,Russia,0.0,Siberia,,52.249396000000004,87.12625799999999,,,2.0,,Estonians,,Altaians_Turochak
156,157,Altaians,Altaians,Telengit-Sortogoy,,Russia,0.0,Siberia,,50.005109000000004,88.74393,,,2.0,,Estonians,,Altaians_Telengit
157,158,Altaian-Kizhi,Altaians,,,Russia,0.0,Siberia,Kaysyn,50.950007,84.593867,,,2.0,,Estonians,,Altaian-Kizhi
158,159,Teleut,Teleut,,,Russia,0.0,Siberia,Novokuznetsk,53.7557,87.1099,,,2.0,,Estonians,,Teleut
160,161,Khakases,Khakases,Khakasiya,,Russia,0.0,Siberia,,53.786391,91.420958, ,61900.0,3.0,,Estonians,,Khakases
162,163,Pashtun,Pashtun_Afghan,,,Afghanisthan,0.0,Central Asia,,31.674465,65.699064,200,,4.0,Kandahar,Estonians,,Pashtun
164,165,Brahmins_UTT,Brahmins,,Uttarakhand,India,0.0,South Asia,,30.25,79.25,,53483.0,3.0,,Estonians,,Brahmins_UTT
165,166,Brahmins_UP,Brahmins,,Uttar Pradesh,India,0.0,South Asia,,27.25,80.75,,243286.0,3.0,,Estonians,,Brahmins_UP
166,167,Brahmins_TN,Brahmins,,Tamil Nadu,India,0.0,South Asia,,11.0,78.33333,,130058.0,3.0,,Estonians,,Brahmins_TN
167,168,Meena,Rajasthan,,Rajasthan,India,0.0,South Asia,,26.58333,73.83333,,342239.0,3.0,,Estonians,,Meena
179,180,Bengali,Central_India_mix,,Jharkhand,India,0.0,South Asia,,23.35,85.33,,79714.0,3.0,,Estonians,,Central_India_mix
180,181,Bhunjia,Central_India_mix,,Chattisgarh,India,0.0,South Asia,,21.27,81.6,,135194.0,3.0,,Estonians,,Bhunjia
181,182,Dhurwa,Central_India_mix,,Orissa,India,0.0,South Asia,,20.15,85.5,,155820.0,3.0,,Estonians,,Dhurwa
182,183,Gond,Central_India_mix,,Madhya Pradesh,India,0.0,South Asia,,23.25,77.417,,308245.0,3.0,,Estonians,,Gond
184,185,Chenchus,Chenchus,,Andhra Pradesh,India,0.0,South Asia,,16.5,80.64,,160205.0,3.0,,Estonians,,Chenchus
187,188,Halakipikki,Halakipikki,,Karnataka,India,0.0,South Asia,,12.97,77.5,,191791.0,3.0,,Estonians,,Halakipikki
190,191,Malayan,Malayan,,Kerala,India,0.0,South Asia,,8.5074,76.973,,38863.0,3.0,,Estonians,,Malayan
199,200,Ho,Munda_north,north,BIHAR,India,0.0,South Asia,,25.37,85.13,,94163.0,3.0,,Estonians,,Ho
207,208,Khasi,Khasi,Lyngam,Magalaya,India,0.0,South Asia,,25.5667,91.8833,,22429.0,3.0,,Estonians,,Khasi
210,211,Naga,Naga,,Nagaland,India,0.0,South Asia,,25.67,94.12,,16579.0,3.0,,Estonians,,Naga
211,212,Nihali,Nihali,,Maharastra,India,0.0,South Asia,,18.96,72.82,,307713.0,3.0,,Estonians,,Nihali
212,213,Kusundas,Kusundas,western Nepal,,Nepal,0.0,South Asia,,28.1,82.5,,,1.0,from Human Origins,Estonians,,Kusundas
213,214,Burmese,Burmese,,,Myanmar,0.0,Southeast Asia,,19.75,96.1,,676578.0,5.0,Naypydaw,Estonians,,Burmese
214,215,Bajo,Bajo,,,Indonesia,0.0,Southeast Asia,Sulawesi,-2.0,121.0,,174600.0,3.0,,Estonians,,Bajo
215,216,Kayah_Lebbo,Lebbo,,,Indonesia,0.0,Southeast Asia,Borneo,1.0,114.0,,743330.0,3.0,,Estonians,,Kayah_Lebbo
216,217,Antemoro,Antemoro,,,Madagascar,0.0,Madagascar,,-22.402707999999997,47.918607,,,4.0,,Estonians,,Antemoro
217,218,Mikea,Mikea,,,Madagascar,0.0,Madagascar,,-22.6,43.4,,3706.0,4.0,Mikea Forest,Estonians,,Mikea
218,219,Vezo,Vezo,,,Madagascar,0.0,Madagascar,,-19.404698,44.532209,200,,4.0,,Estonians,,Vezo
219,220,Mongolians,Mongolians,,Halha,Mongolia,0.0,Siberia,,47.58853,118.655584,50,,4.0,Kalkhgol,Estonians,,Mongolians_Halha
220,221,Mongolians,Mongolians,,,Mongolia,0.0,Siberia,,48.0663,114.5645,,,1.0,from Xing,Estonians,,Mongolians_General
221,222,Buryats,Buryats,,,Russia,0.0,Siberia,,53.8,109.33333300000001,,,2.0,Buryatia,Estonians,,Buryats
222,223,Tuvinians,Tuvinians,,,Russia,0.0,Siberia,,50.3,95.2,,,1.0,from Human Origins,Estonians,,Tuvinians_General
223,224,Tuvinians,Tuvinians,Upsunur,,Russia,0.0,Siberia,,51.783333,94.75, ,170500.0,4.0,Tyva Republic,Estonians,,Tuvinians_Upsunur
224,225,Dolgans,Dolgans,,,Russia,0.0,Siberia,,73.0,115.4,,,1.0,from Human Origins,Estonians,,Dolgans
225,226,Kets,Kets,Central Siberia,,Russia,0.0,Siberia,,52.286547999999996,104.43679,200,,2.0,Irkutsk,Estonians,,Kets
226,227,Nganasans,Nganasans,Taymyr Peninsula,,Russia,0.0,Siberia,,74.132902,99.04582099999999,,,2.0,,Estonians,,Nganasans
228,229,Selkups,Selkups,,,Russia,0.0,Siberia,,65.090553,70.333107,500,,4.0,,Estonians,,Selkups
229,230,Shors,Shors,Gorge_Shoria,,Russia,0.0,Siberia,,54.933333,87.233333,100,,4.0,Kemerovo Oblast,Estonians,,Shors_Gorge_Shoria
233,234,Shors,Shors,,,Russia,0.0,Siberia,Tashtagol,52.766667000000005,87.866667,,,2.0,,Estonians,,Shors_Tashtagol
234,235,Shors,Shors,,,Russia,0.0,Siberia,Orton,53.203413,88.621398,,,2.0,,Estonians,,Shors_Orton
235,236,Yukaghirs,Yukaghirs,,,Russia,0.0,Siberia,,64.0,153.5,,91800.0,4.0,Srednekansky District,Estonians,,Yukaghirs
236,237,Nivkhs,Nivkhs,,,Russia,0.0,Siberia,,51.0,143.0,,72492.0,4.0,Sakhalin,Estonians,,Nivkhs
238,239,Yakuts,Yakuts,,,Russia,0.0,Siberia,Essey,68.45849,102.398521,,,2.0,,Estonians,,Yakuts_Essey
239,240,Yakuts,Yakuts,,,Russia,0.0,Siberia,Seymchan,62.93083299999999,152.385,,,2.0,,Estonians,,Yakuts_Seymchan
240,241,Yakuts,Yakuts,,,Russia,0.0,Siberia,"Vilyuy, Yakut Republic",63.402076,119.813034,100,,4.0,River,Estonians,,Yakuts_Vilyuy
241,242,Yakuts,Yakuts,,,Russia,0.0,Siberia,Yakutsk,62.000238,129.716319,,,2.0,,Estonians,,Yakuts_Yakutsk
242,243,Yakuts,Yakuts,,,Russia,0.0,Siberia,Ekonda,65.760273,105.338178,500,,4.0,,Estonians,,Yakuts_Ekonda
243,244,Yakuts,Yakuts,,,Russia,0.0,Siberia,Chirinda,67.889454,99.97798399999999,,,2.0,,Estonians,,Yakuts_Chirinda
244,245,Yakuts,Yakuts,,,Russia,0.0,Siberia,"Olenek, Yakut Republic",68.50520300000001,112.49188600000001,,,2.0,,Estonians,,Yakuts_Olenek
246,247,Yakuts,Yakuts,,,Russia,0.0,Siberia,"Nyurba, Yakut Republic",63.283333,118.33333300000001,,,2.0,,Estonians,,Yakuts_Nyurba
249,250,Evenkis,Evenkis,,,Russia,0.0,Siberia,"Kuyumba, Baikit District",60.959466000000006,96.96629300000001,,,2.0,,Estonians,,Evenkis_Kuyumba
250,251,Evenkis,Evenkis,,,Russia,0.0,Siberia,"Irokan, Amur Region",53.55,127.83333300000001,,363700.0,4.0,Amur Region,Estonians,,Evenkis_Irokan
251,252,Evenkis,Evenkis,,,Russia,0.0,Siberia,Strelka-Chunya,61.738032999999994,102.796113,,,2.0,,Estonians,,Evenkis_Strelka
253,254,Evenkis,Evenkis,,,Russia,0.0,Siberia,Chirinda,67.542549,100.4108219,,,2.0,,Estonians,,Evenkis_Chirinda
254,255,Evenkis,Evenkis,,,Russia,0.0,Siberia,Tutonchany,64.2092694,93.79793409999999,,,2.0,,Estonians,,Evenkis_Tutonchany
255,256,Evenkis,Evenkis,,,Russia,0.0,Siberia,Tura,64.275345,100.216177,,,2.0,,Estonians,,Evenkis_Tura
256,257,Evenkis,Evenkis,,,Russia,0.0,Siberia,Ekonda,65.7539927,105.32871090000002,,,2.0,,Estonians,,Evenkis_Ekonda
257,258,Evenkis,Evenkis,,,Russia,0.0,Siberia,Kislokan,63.5885216,103.9508864,,,2.0,,Estonians,,Evenkis_Kislokan
258,259,Evenkis,Evenkis,,,Russia,0.0,Siberia,"Erbogachen, Irkutsk Region",57.36666700000001,106.0,,767900.0,3.0,,Estonians,,Evenkis_Erbogachen
259,260,Evenkis,Evenkis,,,Russia,0.0,Siberia,Nidym,64.1145202,99.9175066,,,2.0,,Estonians,,Evenkis_Nidym
261,262,Evenkis,Evenkis,,,Russia,0.0,Siberia,Surinda,62.556478000000006,97.4085391,,,2.0,,Estonians,,Evenkis_Surinda
262,263,Evenkis,Evenkis,,,Russia,0.0,Siberia,Poligus,61.977486999999996,94.65996899999999,,,2.0,,Estonians,,Evenkis_Poligus
263,264,Evenkis,Evenkis,,,Russia,0.0,Siberia,"Nakanno, Irkutsk Region",62.90070060000001,108.45205859999999,,,2.0,,Estonians,,Evenkis_Nakanno
264,265,Evenkis,Evenkis,,,Russia,0.0,Siberia,Baykit,61.67942370000001,96.35838259999998,,,2.0,,Estonians,,Evenkis_Baykit
267,268,Evens,Evens,,,Russia,0.0,Siberia,"Gadlya, Ola District",59.683225,151.300006,,,1.0,,Estonians,,Evens_Gadlya
